Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
000,560,75,218,413,12,218.0,31.0,560.0,266.5,0.0,0.0,0.0,111.77208953938367,
000,778,75,221,497,11,20.0,1202.0,979.0,331.0,66.332495807108,112.33521264501172,66.332495807108,135.35730493770922,
000,999,75,220,1257,2,188.5,96.0,1023.5,123.5,0.7071067811865476,104.65180361560904,0.7071067811865476,27.577164466275352,
001,560,96,218,31,2,41.0,15.0,594.5,104.5,53.74011537017761,9.899494936611665,7.7781745930520225,6.363961030678928,
003,560,251,218,31,1,57.0,22.0,584.0,255.0,0.0,0.0,0.0,0.0,
004,584,255,57,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
005,779,97,220,1256,2,220.0,128.5,779.0,115.5,0.0,129.4005409571382,0.0,26.16295090390226,
005,999,449,0,1102,4,5.0,25.75,999.0,493.25,10.0,7.5,0.0,34.53862572058516,
005,999,97,0,1454,20,1.0,22.75,999.0,320.25,4.47213595499958,3.3541019662496847,0.0,131.45816825134906,
005,999,427,0,1124,5,4.0,25.0,999.0,483.0,8.94427190999916,6.708203932499369,0.0,39.81205847478876,
005,999,229,0,1322,14,1.4285714285714286,23.071428571428573,999.0,385.92857142857144,5.3452248382484875,4.008918628686365,0.0,93.89393712360467,
005,999,449,0,1102,4,5.0,25.75,999.0,493.25,10.0,7.5,0.0,34.53862572058516,
005,999,361,0,1190,8,2.5,23.875,999.0,451.125,7.0710678118654755,5.303300858899107,0.0,57.115015538823066,
005,999,361,0,1190,8,2.5,23.875,999.0,451.125,7.0710678118654755,5.303300858899107,0.0,57.115015538823066,
005,999,427,0,1124,5,4.0,25.0,999.0,483.0,8.94427190999916,6.708203932499369,0.0,39.81205847478876,
005,999,449,0,1102,4,5.0,25.75,999.0,493.25,10.0,7.5,0.0,34.53862572058516,
005,999,295,0,1256,11,1.8181818181818181,23.363636363636363,999.0,418.6363636363636,6.030226891555272,4.522670168666453,0.0,75.32897547062846,
006,779,134,220,22,1,220.0,22.0,779.0,134.0,0.0,0.0,0.0,0.0,
006,779,156,220,22,1,220.0,22.0,779.0,156.0,0.0,0.0,0.0,0.0,
006,779,178,220,22,1,220.0,22.0,779.0,178.0,0.0,0.0,0.0,0.0,
006,779,200,220,22,1,220.0,22.0,779.0,200.0,0.0,0.0,0.0,0.0,
006,779,222,220,22,1,220.0,22.0,779.0,222.0,0.0,0.0,0.0,0.0,
006,779,244,220,22,1,220.0,22.0,779.0,244.0,0.0,0.0,0.0,0.0,
006,779,266,220,22,1,220.0,22.0,779.0,266.0,0.0,0.0,0.0,0.0,
006,779,288,220,22,1,220.0,22.0,779.0,288.0,0.0,0.0,0.0,0.0,
006,779,310,220,22,1,220.0,22.0,779.0,310.0,0.0,0.0,0.0,0.0,
006,779,332,220,22,1,220.0,22.0,779.0,332.0,0.0,0.0,0.0,0.0,
007,779,310,220,22,1,48.0,19.0,799.0,311.0,0.0,0.0,0.0,0.0,
008,799,311,48,19,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,999,449,20,37,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
009,999,486,0,22,1,40.0,22.0,999.0,486.0,0.0,0.0,0.0,0.0,
009,999,508,0,22,1,40.0,22.0,999.0,508.0,0.0,0.0,0.0,0.0,
009,999,530,0,22,1,40.0,22.0,999.0,530.0,0.0,0.0,0.0,0.0,
