Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
001,0,4564,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
002,0,4564,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,331,5359,1241,39,1,170.0,39.0,331.0,5359.0,0.0,0.0,0.0,0.0,
003,331,5414,1241,230,3,413.6666666666667,230.0,744.3333333333334,5414.0,0.5773502691896258,0.0,413.50010076580793,0.0,
004,331,5414,414,230,1,412.0,228.0,332.0,5415.0,0.0,0.0,0.0,0.0,
004,744,5414,413,230,1,412.0,228.0,745.0,5415.0,0.0,0.0,0.0,0.0,
004,1158,5414,414,230,1,412.0,228.0,1159.0,5415.0,0.0,0.0,0.0,0.0,
005,745,5415,412,228,2,413.0,156.0,744.5,5487.5,1.4142135623730951,101.82337649086284,0.7071067811865476,102.5304832720494,
006,745,5415,412,228,6,68.66666666666667,38.333333333333336,745.0,5509.666666666667,168.19829567111157,93.89710680668848,0.0,47.356801693808116,
006,744,5560,414,84,2,336.5,26.0,764.0,5583.0,53.033008588991066,16.97056274847714,0.0,12.727922061357855,
