Widget number,Position X,Position Y,Width,Height,Number of Child Nodes,AverageWidth,AverageHeight,Average posX,Average posY,DeviationWidth, DeviationHeight, DeviationX, DeviationY
001,752,2400,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,752,2400,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,752,2400,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,752,2400,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,752,2400,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
001,752,2331,179,138,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
003,752,2487,398,90,2,191.0,79.5,849.5,2492.0,16.97056274847714,14.849242404917497,137.88582233137677,7.0710678118654755,
003,0,1519,0,20,1,0.0,0.0,0.0,1519.0,0.0,0.0,0.0,0.0,
004,752,2487,179,90,6,29.833333333333332,23.0,752.0,2520.5,73.07644399303148,56.3382640840131,0.0,28.16913204200655,
004,947,2497,203,69,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
